,Map,Pokemon,DexID,Morning,Day,Night,MinLvl,MaxLvl,Item,Member,Tier,Type,Path
1224,Mt. Summer 2F,Rattata,19,1,1,1,26,30,Rattata Hair,0,Common,Land,sprites/rattata.png
1225,Mt. Summer 2F 2,Rattata,19,1,1,1,26,30,Rattata Hair,0,Common,Land,sprites/rattata.png
1226,Old Chateau 1F 1F,Rattata,19,1,1,0,11,14,,1,Common,Land,sprites/rattata.png
1227,Old Chateau 1F 2R,Rattata,19,1,1,0,11,14,,1,Common,Land,sprites/rattata.png
1228,Old Chateau 2F,Rattata,19,1,1,0,11,14,,1,Common,Land,sprites/rattata.png
1229,Old Chateau 2F 1R,Rattata,19,1,1,0,11,14,,1,Common,Land,sprites/rattata.png
1230,Old Chateau 2F 2R,Rattata,19,1,1,0,11,14,,1,Common,Land,sprites/rattata.png
1231,Old Chateau 2F 3R,Rattata,19,1,1,0,11,14,,1,Common,Land,sprites/rattata.png
1232,Old Chateau 2F 4R,Rattata,19,1,1,0,11,14,,1,Common,Land,sprites/rattata.png
1233,Old Chateau 2F 5R,Rattata,19,1,1,0,11,14,,1,Common,Land,sprites/rattata.png
1234,Old Chateau Dining Room,Rattata,19,1,1,1,11,15,,0,Common,Land,sprites/rattata.png
1235,Pinkan Island Forest,Rattata,19,1,0,1,25,30,,0,Common,Land,sprites/rattata.png
1236,Pokemon Tower 2F,Rattata,19,0,1,0,30,30,,0,Common,Land,sprites/rattata.png
1237,Pokemon Tower 3F,Rattata,19,0,1,0,30,30,,0,Common,Land,sprites/rattata.png
1238,Pokemon Tower 4F,Rattata,19,0,1,0,30,30,,0,Common,Land,sprites/rattata.png
1239,Pokemon Tower 5F,Rattata,19,0,1,0,30,30,,0,Common,Land,sprites/rattata.png
1240,Pokemon Tower 6F,Rattata,19,0,1,0,30,30,,0,Common,Land,sprites/rattata.png
1241,Pokemon Tower 7F,Rattata,19,0,1,0,30,30,,0,Common,Land,sprites/rattata.png
1242,Pokemon Tower B1,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1243,Pokemon Tower B10,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1244,Pokemon Tower B11,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1245,Pokemon Tower B12,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1246,Pokemon Tower B13,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1247,Pokemon Tower B14,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1248,Pokemon Tower B15,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1249,Pokemon Tower B16,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1250,Pokemon Tower B17,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1251,Pokemon Tower B18,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1252,Pokemon Tower B19,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1253,Pokemon Tower B19,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1254,Pokemon Tower B2,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1255,Pokemon Tower B20,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1256,Pokemon Tower B21,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1257,Pokemon Tower B22,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1258,Pokemon Tower B23,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1259,Pokemon Tower B25,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1260,Pokemon Tower B26,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1261,Pokemon Tower B27,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1262,Pokemon Tower B28,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1263,Pokemon Tower B29,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1264,Pokemon Tower B3,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1265,Pokemon Tower B4,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1266,Pokemon Tower B5,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1267,Pokemon Tower B6,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1268,Pokemon Tower B7,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1269,Pokemon Tower B8,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1270,Pokemon Tower B9,Rattata,19,1,1,1,10,14,,0,Common,Land,sprites/rattata.png
1271,Pokemon Tower Underground,Rattata,19,1,1,1,12,16,,1,Common,Land,sprites/rattata.png
1272,Route 1,Rattata,19,1,1,1,2,3,Rattata Hair,0,Common,Land,sprites/rattata.png
1273,Route 11,Rattata,19,1,1,0,25,26,Oran Berry,0,Common,Land,sprites/rattata.png
1274,Route 17,Rattata,19,0,0,1,30,30,Oran Berry,0,Common,Land,sprites/rattata.png
1275,Route 18,Rattata,19,0,0,1,30,30,,0,Common,Land,sprites/rattata.png
1276,Route 29,Rattata,19,1,1,1,2,4,,0,Common,Land,sprites/rattata.png
1277,Route 3,Rattata,19,1,1,0,12,14,,0,Common,Land,sprites/rattata.png
1278,Route 32,Rattata,19,1,1,1,7,9,,0,Common,Land,sprites/rattata.png
1279,Route 34,Rattata,19,1,1,1,11,15,Leppa Berry,0,Common,Land,sprites/rattata.png
1280,Route 4,Rattata,19,1,1,1,14,16,Oran Berry,0,Common,Land,sprites/rattata.png
1281,Route 6,Rattata,19,1,1,0,22,24,,0,Common,Land,sprites/rattata.png
1282,Route 7,Rattata,19,1,1,1,16,20,Oran Berry,0,Common,Land,sprites/rattata.png
1283,Safari Area 1,Rattata,19,0,0,1,29,30,Rattata Hair,0,Common,Land,sprites/rattata.png
1284,Sprout Tower F1,Rattata,19,1,1,1,6,8,,0,Common,Land,sprites/rattata.png
1285,Sprout Tower F2,Rattata,19,1,1,1,6,8,,0,Common,Land,sprites/rattata.png
1286,Sprout Tower F3,Rattata,19,1,1,1,6,8,,0,Common,Land,sprites/rattata.png
1287,Tohjo Falls,Rattata,19,1,1,1,30,30,,0,Common,Land,sprites/rattata.png
1288,Union Cave 1F,Rattata,19,1,1,1,8,10,,0,Common,Land,sprites/rattata.png
1289,Vulcan Fair,Rattata,19,1,1,1,26,30,,0,Common,Land,sprites/rattata.png
1290,Amazon Forest,Tyrogue,236,1,1,1,10,14,,0,Rare,Land,sprites/tyrogue.png
1291,Love Island,Tyrogue,236,1,1,0,13,17,,0,Rare,Land,sprites/tyrogue.png
1292,Mt. Mortar B1F,Tyrogue,236,1,1,1,33,37,,0,Rare,Land,sprites/tyrogue.png
1293,Route 112,Tyrogue,236,1,1,1,19,23,,0,Rare,Land,sprites/tyrogue.png
1294,Safari Johto Wet Zone,Tyrogue,236,1,1,1,22,26,,0,Rare,Land,sprites/tyrogue.png
1295,Amity Square,Beedrill,15,1,1,1,17,20,,0,Uncommon,Land,sprites/beedrill.png
1296,Amity Square,Beedrill,15,1,1,1,17,20,,0,Uncommon,Land,sprites/beedrill.png
1297,Ilex Forest,Beedrill,15,0,0,1,10,14,Poison Barb,0,Common,Land,sprites/beedrill.png
1298,Safari Entrance,Beedrill,15,1,1,0,34,38,Poison Barb,0,Common,Land,sprites/beedrill.png
1299,Viridian Forest,Beedrill,15,1,1,1,5,7,Poison Barb,0,Common,Land,sprites/beedrill.png
1300,Amity Square,Bidoof,399,1,1,1,17,20,,0,Common,Land,sprites/bidoof.png
1301,Amity Square,Bidoof,399,1,1,1,17,20,,0,Common,Land,sprites/bidoof.png
1302,Aphrodia Island East,Bidoof,399,1,1,1,23,28,,0,Common,Land,sprites/bidoof.png
1303,Aphrodia Island West,Bidoof,399,1,1,1,23,28,,0,Common,Land,sprites/bidoof.png
1304,Diamond Empire Entry,Bidoof,399,1,1,1,22,28,,0,Common,Land,sprites/bidoof.png
1305,Fuego Ironworks,Bidoof,399,1,1,1,20,32,,0,Common,Land,sprites/bidoof.png
1306,Matsuki Courtyard,Bidoof,399,1,1,1,25,31,,0,Common,Land,sprites/bidoof.png
1307,Route 201,Bidoof,399,1,1,1,2,4,,0,Common,Land,sprites/bidoof.png
1308,Route 202,Bidoof,399,1,1,1,3,6,,0,Common,Land,sprites/bidoof.png
1309,Route 203,Bidoof,399,1,1,1,4,7,,0,Common,Land,sprites/bidoof.png
1310,Route 204,Bidoof,399,1,1,1,5,9,,0,Common,Land,sprites/bidoof.png
1311,Route 205,Bidoof,399,1,1,1,11,14,,0,Common,Land,sprites/bidoof.png
1312,Route 210,Bidoof,399,1,1,1,17,21,,0,Common,Land,sprites/bidoof.png
1313,Route 211,Bidoof,399,1,1,1,13,17,,0,Common,Land,sprites/bidoof.png
1314,Route 212 South,Bidoof,399,1,1,1,24,28,,0,Common,Land,sprites/bidoof.png
1315,Route 225,Bidoof,399,1,1,1,24,28,,0,Common,Land,sprites/bidoof.png
1316,Route 47,Bidoof,399,1,1,1,30,34,,0,Uncommon,Land,sprites/bidoof.png
1317,Sinnoh Safari Area Zone 5,Bidoof,399,1,1,0,24,28,,0,Common,Land,sprites/bidoof.png
1318,Route 205,Bidoof,399,1,1,1,11,14,,0,Common,Surf/Fish,sprites/bidoof.png
1319,Amity Square,Buneary,427,1,1,1,21,24,,0,Uncommon,Land,sprites/buneary.png
1320,Bittersweet Cave 1F,Buneary,427,1,1,1,10,11,Chople Berry,0,Uncommon,Land,sprites/buneary.png
1321,Bittersweet Cave 4F,Buneary,427,1,1,1,20,22,Chople Berry,0,Uncommon,Land,sprites/buneary.png
1322,Breezy Town,Buneary,427,1,1,1,17,21,,0,Uncommon,Land,sprites/buneary.png
1323,Cryofrost Brink,Buneary,427,1,1,1,18,22,Chople Berry,0,Uncommon,Land,sprites/buneary.png
1324,Eterna Forest,Buneary,427,1,1,0,15,18,,0,Rare,Land,sprites/buneary.png
1325,Evergreen Island Crystal Cave,Buneary,427,1,1,1,18,22,Chople Berry,0,Uncommon,Land,sprites/buneary.png
1326,Flake Wood,Buneary,427,1,1,1,18,20,Chople Berry,0,Uncommon,Land,sprites/buneary.png
1327,Mirage Island Summit,Buneary,427,0,1,0,65,70,Shuca Berry,0,Uncommon,Land,sprites/buneary.png
1328,North Pole Harbour,Buneary,427,1,1,1,18,22,Chople Berry,0,Uncommon,Land,sprites/buneary.png
1329,Unison Mountain South Summit,Buneary,427,1,1,1,18,22,Chople Berry,0,Uncommon,Land,sprites/buneary.png
1330,Unison Mountain Summit,Buneary,427,1,1,1,43,47,Chople Berry,0,Uncommon,Land,sprites/buneary.png
1331,Amity Square,Drifloon,425,1,1,1,17,20,,0,Rare,Land,sprites/drifloon.png
1332,Nido Isle,Drifloon,425,1,1,1,30,35,,0,Rare,Land,sprites/drifloon.png
1333,Pal Park,Drifloon,425,0,0,1,20,25,Air Balloon,0,Rare,Land,sprites/drifloon.png
1334,Valley Windworks,Drifloon,425,1,1,1,11,14,Air Balloon,1,Rare,Land,sprites/drifloon.png
1335,Amity Square,Jigglypuff,39,1,1,1,17,20,,0,Common,Land,sprites/jigglypuff.png
1336,Breezy Garden,Jigglypuff,39,1,1,1,21,25,,0,Common,Land,sprites/jigglypuff.png
1337,Evergreen Island Frozen Path,Jigglypuff,39,1,1,1,22,25,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1338,Moon,Jigglypuff,39,1,1,1,25,30,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1339,Nap Cave,Jigglypuff,39,1,1,1,44,44,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1340,Nap Cave B1F,Jigglypuff,39,1,1,1,44,44,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1341,Nap Shore,Jigglypuff,39,1,1,0,42,44,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1342,Route 115,Jigglypuff,39,1,1,1,22,26,,0,Common,Land,sprites/jigglypuff.png
1343,Route 24,Jigglypuff,39,1,0,0,10,14,,0,Common,Land,sprites/jigglypuff.png
1344,Route 3,Jigglypuff,39,1,1,1,12,14,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1345,Route 35,Jigglypuff,39,1,1,0,14,18,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1346,Route 4,Jigglypuff,39,1,1,0,14,16,,0,Common,Land,sprites/jigglypuff.png
1347,Route 46,Jigglypuff,39,1,1,1,4,6,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1348,Route 6,Jigglypuff,39,1,1,1,22,24,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1349,Route 8,Jigglypuff,39,1,1,0,26,30,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1350,Secret Nap Area,Jigglypuff,39,1,1,0,44,44,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1351,Sleeping Path,Jigglypuff,39,1,1,0,42,44,Oran Berry,0,Common,Land,sprites/jigglypuff.png
1352,Amity Square,Kricketune,402,1,1,1,17,20,,0,Uncommon,Land,sprites/kricketune.png
1353,Amity Square,Kricketune,402,1,1,1,17,20,,0,Uncommon,Land,sprites/kricketune.png
1354,Route 206,Kricketune,402,1,1,1,15,19,,0,Uncommon,Land,sprites/kricketune.png
1355,Route 208,Kricketune,402,0,0,1,17,22,,0,Uncommon,Land,sprites/kricketune.png
1356,Route 210,Kricketune,402,1,1,1,17,20,,1,Uncommon,Land,sprites/kricketune.png
1357,Route 212 South,Kricketune,402,1,1,1,24,28,,0,Uncommon,Land,sprites/kricketune.png
1358,Route 214,Kricketune,402,1,1,1,23,27,,0,Uncommon,Land,sprites/kricketune.png
1359,Route 215,Kricketune,402,1,1,1,21,25,,0,Uncommon,Land,sprites/kricketune.png
1360,Sinnoh Safari Area Zone 2,Kricketune,402,1,1,1,24,28,,0,Uncommon,Land,sprites/kricketune.png
1361,Valor Lakefront,Kricketune,402,1,1,1,24,28,,0,Uncommon,Land,sprites/kricketune.png
1362,Amity Square,Pachirisu,417,1,1,1,17,20,,0,Rare,Land,sprites/pachirisu.png
1363,Fuego Ironworks,Pachirisu,417,1,1,1,28,31,,0,Rare,Land,sprites/pachirisu.png
1364,Power Plant,Pachirisu,417,0,1,0,21,24,,1,Rare,Land,sprites/pachirisu.png
1365,Valley Windworks,Pachirisu,417,1,1,1,11,14,,0,Rare,Land,sprites/pachirisu.png
1366,Whoville Shore,Pachirisu,417,1,1,1,15,19,,0,Rare,Land,sprites/pachirisu.png
1367,Amity Square,Shroomish,285,1,1,1,21,24,,0,Rare,Land,sprites/shroomish.png
1368,Aphrodia Island East,Shroomish,285,1,1,1,30,35,Kebia Berry,0,Uncommon,Land,sprites/shroomish.png
1369,Eumi Island Theme Park 1,Shroomish,285,1,1,1,25,30,,0,Rare,Land,sprites/shroomish.png
1370,Forest Dungeon Entrance,Shroomish,285,1,1,1,25,31,,0,Uncommon,Land,sprites/shroomish.png
1371,Hoenn Safari Zone Area 2,Shroomish,285,1,1,1,28,32,Kebia Berry,0,Uncommon,Land,sprites/shroomish.png
1372,Medusas Cloud,Shroomish,285,1,1,1,30,35,Kebia Berry,0,Uncommon,Land,sprites/shroomish.png
1373,Nap Forest,Shroomish,285,1,1,1,46,53,,0,Uncommon,Land,sprites/shroomish.png
1374,Petalburg Woods,Shroomish,285,1,1,1,5,7,Big Mushroom,0,Uncommon,Land,sprites/shroomish.png
1375,Safari Area 1,Shroomish,285,0,0,1,34,38,Kebia Berry,1,Uncommon,Land,sprites/shroomish.png
1376,Whitmore Residence Backyard,Shroomish,285,1,1,1,30,35,Kebia Berry,0,Uncommon,Land,sprites/shroomish.png
1377,Amity Square,Skitty,300,1,1,1,17,20,,0,Uncommon,Land,sprites/skitty.png
1378,Breezy Town,Skitty,300,1,1,1,17,21,,0,Uncommon,Land,sprites/skitty.png
1379,Crumpit Valley,Skitty,300,1,1,1,25,31,Chilan Berry,0,Uncommon,Land,sprites/skitty.png
1380,Eindoak Waterway,Skitty,300,1,1,1,25,31,,0,Uncommon,Land,sprites/skitty.png
1381,Eumi Island Theme Park 1,Skitty,300,1,1,1,25,30,,0,Uncommon,Land,sprites/skitty.png
1382,Eumi Island Theme Park 2,Skitty,300,1,1,1,25,30,,0,Uncommon,Land,sprites/skitty.png
1383,Eumi Island Theme Park 3,Skitty,300,1,1,1,25,30,,0,Uncommon,Land,sprites/skitty.png
1384,Evergreen Island Valley Path,Skitty,300,1,1,1,24,30,Chilan Berry,0,Uncommon,Land,sprites/skitty.png
1385,Evergreen Waterway,Skitty,300,1,1,1,25,31,,0,Uncommon,Land,sprites/skitty.png
1386,Frost Valley,Skitty,300,1,1,1,15,17,Chilan Berry,0,Uncommon,Land,sprites/skitty.png
1387,Frozen Cave B2F,Skitty,300,1,1,1,25,31,Chilan Berry,0,Uncommon,Land,sprites/skitty.png
1388,Hoenn Safari Zone Area 3,Skitty,300,1,1,1,28,32,Chilan Berry,0,Uncommon,Land,sprites/skitty.png
1389,Nap Shore,Skitty,300,1,1,1,39,39,Chilan Berry,0,Uncommon,Land,sprites/skitty.png
1390,Pal Park,Skitty,300,1,1,1,20,25,,0,Uncommon,Land,sprites/skitty.png
1391,Route 116,Skitty,300,1,1,1,6,9,,0,Uncommon,Land,sprites/skitty.png
1392,Snowfall Valley,Skitty,300,1,1,1,25,31,Chilan Berry,0,Uncommon,Land,sprites/skitty.png
1393,Whoville,Skitty,300,1,1,1,25,31,Chilan Berry,0,Uncommon,Land,sprites/skitty.png
1394,Amity Square,Staravia,397,1,1,1,17,20,,0,Uncommon,Land,sprites/staravia.png
1395,Amity Square,Staravia,397,1,1,1,17,20,,0,Uncommon,Land,sprites/staravia.png
1396,Diamond Empire Entry,Staravia,397,1,1,1,22,31,,0,Common,Land,sprites/staravia.png
1397,Lake Valor,Staravia,397,1,1,1,35,39,,0,Uncommon,Land,sprites/staravia.png
1398,Mirage Island Summit,Staravia,397,0,1,0,65,70,Occa Berry,0,Common,Land,sprites/staravia.png
1399,Route 209,Staravia,397,1,1,1,17,21,,0,Uncommon,Land,sprites/staravia.png
1400,Route 210,Staravia,397,1,1,1,17,20,,0,Uncommon,Land,sprites/staravia.png
1401,Route 212 North,Staravia,397,1,1,1,22,26,Yache Berry,0,Common,Land,sprites/staravia.png
1402,Route 215,Staravia,397,1,1,1,21,25,Yache Berry,0,Common,Land,sprites/staravia.png
1403,Route 218,Staravia,397,1,1,1,28,31,Yache Berry,0,Common,Land,sprites/staravia.png
1404,Sendoff Spring,Staravia,397,1,1,1,53,57,,0,Uncommon,Land,sprites/staravia.png
1405,Valor Lakefront,Staravia,397,1,1,1,24,28,,0,Uncommon,Land,sprites/staravia.png
1406,Amity Square,Starly,396,1,1,1,17,20,,0,Common,Land,sprites/starly.png
1407,Amity Square,Starly,396,1,1,1,17,20,,0,Common,Land,sprites/starly.png
1408,Dragon Neck,Starly,396,1,1,1,23,28,Yache Berry,0,Common,Land,sprites/starly.png
1409,Dragons Neck,Starly,396,1,1,1,23,28,Yache Berry,0,Common,Land,sprites/starly.png
1410,Dragonspiral Tower Exterior,Starly,396,1,1,1,21,25,,0,Common,Land,sprites/starly.png
1411,Eterna Forest,Starly,396,1,1,1,11,14,,0,Common,Land,sprites/starly.png
1412,Forest Dungeon Entrance,Starly,396,1,1,1,25,31,,0,Common,Land,sprites/starly.png
1413,Lake Verity,Starly,396,1,1,1,2,5,,0,Uncommon,Land,sprites/starly.png
1414,Leev Town,Starly,396,1,1,1,20,24,Yache Berry,1,Common,Land,sprites/starly.png
1415,Mirage Island Cave,Starly,396,1,0,0,65,70,Sharp Beak,0,Common,Land,sprites/starly.png
1416,Nido Isle,Starly,396,1,1,1,23,28,Yache Berry,0,Common,Land,sprites/starly.png
1417,Pal Park,Starly,396,1,1,1,20,25,,0,Common,Land,sprites/starly.png
1418,Route 201,Starly,396,1,1,1,2,4,,0,Common,Land,sprites/starly.png
1419,Route 202,Starly,396,1,1,1,3,6,,0,Common,Land,sprites/starly.png
1420,Route 203,Starly,396,1,1,0,4,7,Yache Berry,0,Common,Land,sprites/starly.png
1421,Route 204,Starly,396,1,1,1,5,9,,0,Common,Land,sprites/starly.png
1422,Route 209,Starly,396,1,1,1,17,21,,0,Uncommon,Land,sprites/starly.png
1423,Route 210,Starly,396,1,1,1,17,21,,0,Common,Land,sprites/starly.png
1424,Route 212 North,Starly,396,1,1,1,22,26,Yache Berry,0,Common,Land,sprites/starly.png
1425,Route 212 South,Starly,396,1,1,1,24,28,Yache Berry,0,Common,Land,sprites/starly.png
1426,Route 218,Starly,396,1,1,1,25,28,Yache Berry,0,Common,Land,sprites/starly.png
1427,Route 229,Starly,396,1,1,1,26,28,Yache Berry,0,Common,Land,sprites/starly.png
1428,Route 32,Starly,396,1,1,0,7,9,Yache Berry,1,Common,Land,sprites/starly.png
1429,Suzuka Towers,Starly,396,1,1,1,10,14,,0,Common,Land,sprites/starly.png
1430,Treasure Beach,Starly,396,1,0,0,34,38,,1,Rare,Land,sprites/starly.png
1431,Valley Windworks,Starly,396,1,1,1,11,14,,0,Common,Land,sprites/starly.png
1432,Vulcan Forest,Starly,396,1,1,1,24,28,Yache Berry,0,Common,Land,sprites/starly.png
1433,Whitmore Residence Backyard,Starly,396,1,1,1,23,28,Yache Berry,0,Common,Land,sprites/starly.png
1434,Whitmore Residence Frontyard,Starly,396,1,1,1,23,28,Yache Berry,0,Common,Land,sprites/starly.png
1435,Angel Hill,Chingling,433,1,1,1,20,22,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1436,Bittersweet Cave 1F,Chingling,433,1,1,1,20,24,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1437,Bittersweet Cave 2F,Chingling,433,1,1,1,20,24,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1438,Bittersweet Cave 4F,Chingling,433,1,1,1,20,24,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1439,Dark Cave North,Chingling,433,1,1,1,44,47,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1440,Dark Cave South,Chingling,433,1,1,1,5,7,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1441,Lake Acuity,Chingling,433,1,1,1,35,41,,0,Uncommon,Land,sprites/chingling.png
1442,Lake Valor,Chingling,433,1,1,1,35,39,,0,Uncommon,Land,sprites/chingling.png
1443,Moon B1F,Chingling,433,1,1,1,25,30,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1444,Mt. Coronet 2F,Chingling,433,1,1,1,38,43,,0,Uncommon,Land,sprites/chingling.png
1445,Mt. Coronet 3F,Chingling,433,1,1,1,38,43,,0,Uncommon,Land,sprites/chingling.png
1446,Mt. Coronet 4F,Chingling,433,1,1,1,38,43,,0,Uncommon,Land,sprites/chingling.png
1447,Mt. Coronet 5F,Chingling,433,1,1,1,38,43,,0,Uncommon,Land,sprites/chingling.png
1448,Mt. Coronet 6F,Chingling,433,1,1,1,38,43,,0,Uncommon,Land,sprites/chingling.png
1449,Mt. Coronet 7F,Chingling,433,1,1,1,38,43,,0,Uncommon,Land,sprites/chingling.png
1450,Mt. Coronet B1F,Chingling,433,1,1,1,33,38,,0,Uncommon,Land,sprites/chingling.png
1451,Mt. Coronet Center,Chingling,433,1,1,1,13,17,,0,Uncommon,Land,sprites/chingling.png
1452,Mt. Coronet South,Chingling,433,1,1,1,17,21,,0,Uncommon,Land,sprites/chingling.png
1453,Mt. Coronet Summit,Chingling,433,1,1,1,40,43,,0,Uncommon,Land,sprites/chingling.png
1454,Mt. Coronet Tunnel,Chingling,433,1,1,1,39,43,,0,Uncommon,Land,sprites/chingling.png
1455,Mt. Moon B2F,Chingling,433,1,0,1,14,16,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1456,Mt. Mortar B1F,Chingling,433,1,1,1,33,37,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1457,Mt. Mortar Lower Cave,Chingling,433,1,1,1,33,37,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1458,Route 211,Chingling,433,1,1,1,13,17,,0,Uncommon,Land,sprites/chingling.png
1459,Route 211,Chingling,433,1,1,1,13,17,,0,Uncommon,Land,sprites/chingling.png
1460,Safari Entrance,Chingling,433,0,0,1,34,38,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1461,Seafoam B2F,Chingling,433,1,1,1,40,44,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1462,Seafoam B3F,Chingling,433,1,1,1,40,44,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1463,Sendoff Spring,Chingling,433,1,1,1,53,57,,0,Uncommon,Land,sprites/chingling.png
1464,Serenia Village Tunnel,Chingling,433,1,1,1,20,24,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1465,Sinnoh Safari Area Zone 6,Chingling,433,1,1,1,24,28,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1466,Sleeping Path,Chingling,433,1,1,1,42,45,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1467,Slowpoke Well L1,Chingling,433,1,1,1,8,12,,0,Uncommon,Land,sprites/chingling.png
1468,Spooky Path,Chingling,433,1,1,1,20,24,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1469,Tohjo Falls,Chingling,433,1,1,1,42,46,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1470,Turnback Cave Final Room,Chingling,433,1,1,1,45,49,,0,Uncommon,Land,sprites/chingling.png
1471,Turnback Cave First Pillar,Chingling,433,1,1,1,45,49,,0,Uncommon,Land,sprites/chingling.png
1472,Turnback Cave Second Pillar,Chingling,433,1,1,1,45,49,,0,Uncommon,Land,sprites/chingling.png
1473,Turnback Cave Third Pillar,Chingling,433,1,1,1,45,49,,0,Uncommon,Land,sprites/chingling.png
1474,Unholy Sands Pyramid East Chamber,Chingling,433,1,1,1,20,24,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1475,Unholy Sands Pyramid West Chamber,Chingling,433,1,1,1,20,24,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1476,Unison Mountain 1F,Chingling,433,1,1,1,20,24,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1477,Unison Mountain Summit,Chingling,433,1,1,1,38,42,Colbur Berry,0,Uncommon,Land,sprites/chingling.png
1478,Whirl Islands B1F,Chingling,433,1,1,1,22,26,,0,Uncommon,Land,sprites/chingling.png
1479,Angel Hill,Farfetchd,83,1,1,1,20,24,Stick,0,Uncommon,Land,sprites/farfetchd.png
1480,Bittersweet Cave 3F,Farfetchd,83,1,1,1,20,24,Stick,0,Uncommon,Land,sprites/farfetchd.png
1481,Crater Town,Farfetchd,83,1,1,1,26,30,,0,Uncommon,Land,sprites/farfetchd.png
1482,Crumpit Valley,Farfetchd,83,1,1,1,25,31,Stick,0,Uncommon,Land,sprites/farfetchd.png
1483,Dragonspiral Tower 6F,Farfetchd,83,1,1,1,25,31,,0,Common,Land,sprites/farfetchd.png
1484,Ilex Forest,Farfetchd,83,1,1,1,10,14,Stick,0,Uncommon,Land,sprites/farfetchd.png
1485,Kalijodo Path,Farfetchd,83,1,1,1,36,40,Stick,0,Uncommon,Land,sprites/farfetchd.png
1486,Lake Of Rage,Farfetchd,83,1,1,1,36,40,Stick,0,Uncommon,Land,sprites/farfetchd.png
1487,Leev Town,Farfetchd,83,1,1,1,20,24,Stick,1,Uncommon,Land,sprites/farfetchd.png
1488,Mt. Crumpit,Farfetchd,83,1,1,1,25,31,Stick,0,Uncommon,Land,sprites/farfetchd.png
