,Map,Pokemon,DexID,MinLvl,MaxLvl,Item,Member,Tier,Type,Path,Time,Level,base_map,Map_x,Region,MaxMinLvl,IsHighestMin,HighestMinCount,IsRepellable,Repel,Tier Count
2163,Nap Cave,Misdreavus,200,45,45,Spell Tag,,Uncommon,Land,sprites/misdreavus.png,M/D/Ni,45-45,Nap Cave,Nap Cave,Hoenn,45,True,5,False,,1
2164,Nap Cave,Nosepass,299,45,50,Magnet,,Rare,Land,sprites/nosepass.png,M/D/Ni,45-50,Nap Cave,Nap Cave,Hoenn,45,True,5,False,,2
2165,Nap Cave,Spiritomb,442,42,42,,Required,Rare,Land,sprites/spiritomb.png,M/D/Ni,42-42,Nap Cave,Nap Cave,Hoenn,45,False,2,False,,2
2166,Nap Cave,Whismur,293,45,50,Chesto Berry,,Common,Land,sprites/whismur.png,M/D/Ni,45-50,Nap Cave,Nap Cave,Hoenn,45,True,5,False,,4
2167,Nap Cave,Zubat,41,45,48,,,Common,Land,sprites/zubat.png,M/D/Ni,45-48,Nap Cave,Nap Cave,Hoenn,45,True,5,False,,4
2168,Nap Cave B1F,Gastly,92,39,39,,,Common,Land,sprites/gastly.png,M/D/Ni,39-39,Nap Cave,Nap Cave,Hoenn,45,False,3,False,,6
2169,Nap Cave B1F,Golbat,42,42,42,,,Common,Land,sprites/golbat.png,M/D/Ni,42-42,Nap Cave,Nap Cave,Hoenn,45,False,3,False,,6
2170,Nap Cave B1F,Haunter,93,45,48,Spell Tag,,Common,Land,sprites/haunter.png,M/D/Ni,45-48,Nap Cave,Nap Cave,Hoenn,45,True,4,False,,6
2171,Nap Cave B1F,Jigglypuff,39,44,44,Oran Berry,,Common,Land,sprites/jigglypuff.png,M/D/Ni,44-44,Nap Cave,Nap Cave,Hoenn,45,False,3,False,,6
2172,Nap Cave B1F,Misdreavus,200,45,45,Spell Tag,,Uncommon,Land,sprites/misdreavus.png,M/D/Ni,45-45,Nap Cave,Nap Cave,Hoenn,45,True,4,False,,1
2173,Nap Cave B1F,Whismur,293,45,48,Chesto Berry,,Common,Land,sprites/whismur.png,M/D/Ni,45-48,Nap Cave,Nap Cave,Hoenn,45,True,4,False,,6
2174,Nap Cave B1F,Zubat,41,45,48,,,Common,Land,sprites/zubat.png,M/D/Ni,45-48,Nap Cave,Nap Cave,Hoenn,45,True,4,False,,6
2175,Nap Forest,Caterpie,10,42,45,,,Common,Land,sprites/caterpie.png,M/D,42-45,Nap Forest,Nap Forest,Hoenn,46,False,8,False,,4
2176,Nap Forest,Foongus,590,42,45,Tiny Mushroom,,Rare,Land,sprites/foongus.png,M/D/Ni,42-45,Nap Forest,Nap Forest,Hoenn,46,False,8,False,,2
2177,Nap Forest,Hoothoot,163,42,45,,,Common,Land,sprites/hoothoot.png,Ni,42-45,Nap Forest,Nap Forest,Hoenn,46,False,8,False,,4
2178,Nap Forest,Paras,46,42,45,,,Common,Land,sprites/paras.png,M/D/Ni,42-45,Nap Forest,Nap Forest,Hoenn,46,False,8,False,,4
2179,Nap Forest,Petilil,548,42,45,,Required,Rare,Land,sprites/petilil.png,M/D/Ni,42-45,Nap Forest,Nap Forest,Hoenn,46,False,8,False,,2
2180,Nap Forest,Scatterbug,664,42,45,,,Uncommon,Land,sprites/scatterbug.png,M/D/Ni,42-45,Nap Forest,Nap Forest,Hoenn,46,False,8,False,,3
2181,Nap Forest,Shroomish,285,46,53,,,Uncommon,Land,sprites/shroomish.png,M/D/Ni,46-53,Nap Forest,Nap Forest,Hoenn,46,True,1,True,46-53,3
2182,Nap Forest,Slakoth,287,42,45,,,Uncommon,Land,sprites/slakoth.png,M/D/Ni,42-45,Nap Forest,Nap Forest,Hoenn,46,False,8,False,,3
2183,Nap Forest,Tangela,114,42,45,,,Common,Land,sprites/tangela.png,M/D/Ni,42-45,Nap Forest,Nap Forest,Hoenn,46,False,8,False,,4
2184,Nap Shore,Chatot,441,42,45,,,Rare,Land,sprites/chatot.png,M/D/Ni,42-45,Nap Shore,Nap Shore,Hoenn,42,True,8,False,,2
2185,Nap Shore,Clamperl,366,42,45,Pearl,,Uncommon,Land,sprites/clamperl.png,M/D/Ni,42-45,Nap Shore,Nap Shore,Hoenn,42,True,8,False,,2
2186,Nap Shore,Clefairy,35,42,45,Moon Stone,,Common,Land,sprites/clefairy.png,M/D,42-45,Nap Shore,Nap Shore,Hoenn,42,True,8,False,,6
2187,Nap Shore,Drowzee,96,42,45,,,Common,Land,sprites/drowzee.png,Ni,42-45,Nap Shore,Nap Shore,Hoenn,42,True,8,False,,6
2188,Nap Shore,Jigglypuff,39,42,44,Oran Berry,,Common,Land,sprites/jigglypuff.png,M/D,42-44,Nap Shore,Nap Shore,Hoenn,42,True,8,False,,6
2189,Nap Shore,Meowth,52,42,45,Quick Claw,,Common,Land,sprites/meowth.png,Ni,42-45,Nap Shore,Nap Shore,Hoenn,42,True,8,False,,6
2190,Nap Shore,Persian,53,42,45,Quick Claw,,Common,Land,sprites/persian.png,Ni,42-45,Nap Shore,Nap Shore,Hoenn,42,True,8,False,,6
2191,Nap Shore,Skitty,300,39,39,Chilan Berry,,Uncommon,Land,sprites/skitty.png,M/D/Ni,39-39,Nap Shore,Nap Shore,Hoenn,42,False,2,False,,2
2192,Nap Shore,Swablu,333,41,41,,,Rare,Land,sprites/swablu.png,M/D/Ni,41-41,Nap Shore,Nap Shore,Hoenn,42,False,2,False,,2
2193,Nap Shore,Wingull,278,42,45,,,Common,Land,sprites/wingull.png,M/D,42-45,Nap Shore,Nap Shore,Hoenn,42,True,8,False,,6
2194,National Park,Budew,406,16,19,Poison Barb,,Uncommon,Land,sprites/budew.png,M/D/Ni,16-19,National Park,National Park,Johto,20,False,10,False,,3
2195,National Park,Cherubi,420,16,19,Miracle Seed,,Common,Land,sprites/cherubi.png,M/D/Ni,16-19,National Park,National Park,Johto,20,False,10,False,,4
2196,National Park,Durant,632,16,19,Micle Berry,Required,Rare,Land,sprites/durant.png,M/Ni,16-19,National Park,National Park,Johto,20,False,10,False,,4
2197,National Park,Heracross,214,20,24,,,Rare,Land,sprites/heracross.png,D,20-24,National Park,National Park,Johto,20,True,1,True,20-24,4
2198,National Park,Ledyba,165,16,19,Aguav Berry,,Common,Land,sprites/ledyba.png,M/D,16-19,National Park,National Park,Johto,20,False,10,False,,4
2199,National Park,Minun,312,16,19,,,Uncommon,Land,sprites/minun.png,M/D/Ni,16-19,National Park,National Park,Johto,20,False,10,False,,3
2200,National Park,Pineco,204,5,5,Custap Berry,,Rare,Land,sprites/pineco.png,M/D/Ni,5-5,National Park,National Park,Johto,20,False,10,False,,4
2201,National Park,Plusle,311,16,19,,,Uncommon,Land,sprites/plusle.png,M/D/Ni,16-19,National Park,National Park,Johto,20,False,10,False,,3
2202,National Park,Sewaddle,540,16,19,,Required,Rare,Land,sprites/sewaddle.png,M/D,16-19,National Park,National Park,Johto,20,False,10,False,,4
2203,National Park,Spinarak,167,16,19,Tamato Berry,,Common,Land,sprites/spinarak.png,Ni,16-19,National Park,National Park,Johto,20,False,10,False,,4
2204,National Park,Sunkern,191,16,19,Coba Berry,,Common,Land,sprites/sunkern.png,M/D/Ni,16-19,National Park,National Park,Johto,20,False,10,False,,4
2205,Necropolis,Chikorita,152,25,30,,,Rare,Land,sprites/chikorita.png,M/D/Ni,25-30,Necropolis,Necropolis,,25,True,8,False,,3
2206,Necropolis,Drowzee,96,25,30,,,Common,Land,sprites/drowzee.png,M/D/Ni,25-30,Necropolis,Necropolis,,25,True,8,False,,3
2207,Necropolis,Emolga,587,25,30,Cheri Berry,,Rare,Land,sprites/emolga.png,M/D/Ni,25-30,Necropolis,Necropolis,,25,True,8,False,,3
2208,Necropolis,Farfetchd,83,25,30,Stick,,Uncommon,Land,sprites/farfetchd.png,M/D/Ni,25-30,Necropolis,Necropolis,,25,True,8,False,,3
2209,Necropolis,Gothita,574,25,30,Persim Berry,,Rare,Land,sprites/gothita.png,M/D/Ni,25-30,Necropolis,Necropolis,,25,True,8,False,,3
2210,Necropolis,Haunter,93,10,11,Spell Tag,,Common,Land,sprites/haunter.png,M/D/Ni,10-11,Necropolis,Necropolis,,25,False,1,False,,3
2211,Necropolis,Hypno,97,25,30,,,Common,Land,sprites/hypno.png,M/D/Ni,25-30,Necropolis,Necropolis,,25,True,8,False,,3
2212,Necropolis,Slakoth,287,25,30,,,Uncommon,Land,sprites/slakoth.png,M/D/Ni,25-30,Necropolis,Necropolis,,25,True,8,False,,3
2213,Necropolis,Sneasel,215,25,30,Razor Claw,,Uncommon,Land,sprites/sneasel.png,M/D/Ni,25-30,Necropolis,Necropolis,,25,True,8,False,,3
2214,New Mauville,Blitzle,522,22,26,Cheri Berry,,Rare,Land,sprites/blitzle.png,D,22-26,New Mauville,New Mauville,Hoenn,22,True,6,False,,2
2215,New Mauville,Electrode,101,22,26,,,Uncommon,Land,sprites/electrode.png,M/D/Ni,22-26,New Mauville,New Mauville,Hoenn,22,True,6,False,,1
2216,New Mauville,Emolga,587,22,26,,,Rare,Land,sprites/emolga.png,M/D/Ni,22-26,New Mauville,New Mauville,Hoenn,22,True,6,False,,2
2217,New Mauville,Magnemite,81,22,26,Metal Coat,,Common,Land,sprites/magnemite.png,M/D/Ni,22-26,New Mauville,New Mauville,Hoenn,22,True,6,False,,3
2218,New Mauville,Magneton,82,22,26,,,Common,Land,sprites/magneton.png,M/D/Ni,22-26,New Mauville,New Mauville,Hoenn,22,True,6,False,,3
2219,New Mauville,Voltorb,100,22,26,,,Common,Land,sprites/voltorb.png,M/D/Ni,22-26,New Mauville,New Mauville,Hoenn,22,True,6,False,,3
2220,Nido Isle,Dedenne,702,24,28,,,Rare,Land,sprites/dedenne.png,M/D/Ni,24-28,Nido Isle,Nido Isle,,24,True,9,False,,3
2221,Nido Isle,Komala,775,24,28,,,Rare,Land,sprites/komala.png,M/D/Ni,24-28,Nido Isle,Nido Isle,,24,True,9,False,,3
2222,Nido Isle,Kricketot,401,24,28,,,Uncommon,Land,sprites/kricketot.png,M/D/Ni,24-28,Nido Isle,Nido Isle,,24,True,9,False,,3
2223,Nido Isle,Nidoran F,29,24,28,,,Common,Land,sprites/nidoran-f.png,M/D/Ni,24-28,Nido Isle,Nido Isle,,24,True,9,False,,3
2224,Nido Isle,Nidoran M,32,24,28,,,Common,Land,sprites/nidoran-m.png,M/D/Ni,24-28,Nido Isle,Nido Isle,,24,True,9,False,,3
2225,Nido Isle,Pikachu,25,24,28,Light Ball,,Uncommon,Land,sprites/pikachu.png,M/D/Ni,24-28,Nido Isle,Nido Isle,,24,True,9,False,,3
2226,Nido Isle,Rufflet,627,24,28,,,Rare,Land,sprites/rufflet.png,M/D/Ni,24-28,Nido Isle,Nido Isle,,24,True,9,False,,3
2227,Nido Isle,Seedot,273,24,28,Power Herb,,Common,Land,sprites/seedot.png,M/D/Ni,24-28,Nido Isle,Nido Isle,,24,True,9,False,,3
2228,Nido Isle,Vulpix,37,24,28,Rawst Berry,,Uncommon,Land,sprites/vulpix.png,M/D/Ni,24-28,Nido Isle,Nido Isle,,24,True,9,False,,3
2229,North Pole Harbour,Delibird,225,25,30,,,Common,Land,sprites/delibird.png,M/D/Ni,25-30,North Pole Harbour,North Pole Harbour,,25,True,8,False,,3
2230,North Pole Harbour,Farfetchd,83,25,30,Stick,,Uncommon,Land,sprites/farfetchd.png,M/D/Ni,25-30,North Pole Harbour,North Pole Harbour,,25,True,8,False,,3
2231,North Pole Harbour,Gulpin,316,25,30,Iapapa Berry,,Uncommon,Land,sprites/gulpin.png,M/D/Ni,25-30,North Pole Harbour,North Pole Harbour,,25,True,8,False,,3
2232,North Pole Harbour,Pidgeotto,17,25,30,,,Common,Land,sprites/pidgeotto.png,M/D/Ni,25-30,North Pole Harbour,North Pole Harbour,,25,True,8,False,,3
2233,North Pole Harbour,Riolu,447,25,30,Soothe Bell,,Rare,Land,sprites/riolu.png,M/D/Ni,25-30,North Pole Harbour,North Pole Harbour,,25,True,8,False,,2
2234,North Pole Harbour,Smeargle,235,25,30,,,Rare,Land,sprites/smeargle.png,M/D/Ni,25-30,North Pole Harbour,North Pole Harbour,,25,True,8,False,,2
2235,North Pole Harbour,Snorunt,361,25,30,Babiri Berry,,Uncommon,Land,sprites/snorunt.png,M/D/Ni,25-30,North Pole Harbour,North Pole Harbour,,25,True,8,False,,3
2236,North Pole Harbour,Swinub,220,25,27,Aspear Berry,,Common,Land,sprites/swinub.png,M/D/Ni,25-27,North Pole Harbour,North Pole Harbour,,25,True,8,False,,3
2237,Oakwood Cavern 1F,Abra,63,25,30,TwistedSpoon,,Uncommon,Land,sprites/abra.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,7,False,,3
2238,Oakwood Cavern 1F,Ferroseed,597,25,30,Jaboca Berry,,Rare,Land,sprites/ferroseed.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,7,False,,2
2239,Oakwood Cavern 1F,Growlithe,58,20,22,Rawst Berry,,Common,Land,sprites/growlithe.png,M/D/Ni,20-22,Oakwood Cavern,,,25,False,1,False,,3
2240,Oakwood Cavern 1F,Numel,322,25,30,Rawst Berry,,Uncommon,Land,sprites/numel.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,7,False,,3
2241,Oakwood Cavern 1F,Shuckle,213,25,30,Oran Berry,,Rare,Land,sprites/shuckle.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,7,False,,2
2242,Oakwood Cavern 1F,Tangela,114,25,30,,,Common,Land,sprites/tangela.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,7,False,,3
2243,Oakwood Cavern 1F,Tangrowth,465,25,30,,,Uncommon,Land,sprites/tangrowth.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,7,False,,3
2244,Oakwood Cavern 1F,Zubat,41,25,30,,,Common,Land,sprites/zubat.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,7,False,,3
2245,Oakwood Cavern 2F,Chingling,433,25,30,Colbur Berry,,Uncommon,Land,sprites/chingling.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,8,False,,3
2246,Oakwood Cavern 2F,Golbat,42,25,30,,,Common,Land,sprites/golbat.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,8,False,,3
2247,Oakwood Cavern 2F,Numel,322,25,30,Rawst Berry,,Uncommon,Land,sprites/numel.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,8,False,,3
2248,Oakwood Cavern 2F,Phantump,708,25,27,Spell Tag,,Rare,Land,sprites/phantump.png,M/D/Ni,25-27,Oakwood Cavern,,,25,True,8,False,,2
2249,Oakwood Cavern 2F,Snorunt,361,25,30,Babiri Berry,,Uncommon,Land,sprites/snorunt.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,8,False,,3
2250,Oakwood Cavern 2F,Snover,459,25,30,Icy Rock,,Rare,Land,sprites/snover.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,8,False,,2
2251,Oakwood Cavern 2F,Teddiursa,216,25,30,Sitrus Berry,,Common,Land,sprites/teddiursa.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,8,False,,3
2252,Oakwood Cavern 2F,Whismur,293,25,30,Chesto Berry,,Common,Land,sprites/whismur.png,M/D/Ni,25-30,Oakwood Cavern,,,25,True,8,False,,3
2253,Old Chateau 1F,Drowzee,96,11,14,,,Common,Land,sprites/drowzee.png,M/D,11-14,Old Chateau,,,20,False,7,False,,5
2254,Old Chateau 1F,Espurr,677,20,22,,Required,Rare,Land,sprites/espurr.png,M/D/Ni,20-22,Old Chateau,,,20,True,1,True,20-22,1
2255,Old Chateau 1F,Gastly,92,11,14,,,Uncommon,Land,sprites/gastly.png,M/D/Ni,11-14,Old Chateau,,,20,False,7,False,,2
2256,Old Chateau 1F,Golbat,42,11,14,,,Common,Land,sprites/golbat.png,M/D/Ni,11-14,Old Chateau,,,20,False,7,False,,5
2257,Old Chateau 1F,Haunter,93,11,14,,,Uncommon,Land,sprites/haunter.png,M/D/Ni,11-14,Old Chateau,,,20,False,7,False,,2
2258,Old Chateau 1F,Patrat,504,11,14,,,Common,Land,sprites/patrat.png,M/D/Ni,11-14,Old Chateau,,,20,False,7,False,,5
2259,Old Chateau 1F,Unown,201,11,14,,,Common,Land,sprites/unown.png,M/D/Ni,11-14,Old Chateau,,,20,False,7,False,,5
2260,Old Chateau 1F,Zubat,41,11,14,,,Common,Land,sprites/zubat.png,M/D/Ni,11-14,Old Chateau,,,20,False,7,False,,5
2261,Old Chateau 1F 1F,Gastly,92,11,14,,,Common,Land,sprites/gastly.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2262,Old Chateau 1F 1F,Gengar,94,11,14,,,Rare,Land,sprites/gengar.png,M/D,11-14,Old Chateau,,,11,True,8,False,,1
2263,Old Chateau 1F 1F,Golbat,42,11,14,,,Common,Land,sprites/golbat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2264,Old Chateau 1F 1F,Haunter,93,11,14,,,Uncommon,Land,sprites/haunter.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2265,Old Chateau 1F 1F,Misdreavus,200,11,14,,,Uncommon,Land,sprites/misdreavus.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2266,Old Chateau 1F 1F,Patrat,504,11,14,,Required,Common,Land,sprites/patrat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2267,Old Chateau 1F 1F,Rattata,19,11,14,,Required,Common,Land,sprites/rattata.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2268,Old Chateau 1F 1F,Zubat,41,11,14,,,Common,Land,sprites/zubat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2269,Old Chateau 1F 2R,Gastly,92,11,14,,,Common,Land,sprites/gastly.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2270,Old Chateau 1F 2R,Gengar,94,11,14,,,Rare,Land,sprites/gengar.png,M/D,11-14,Old Chateau,,,11,True,8,False,,1
2271,Old Chateau 1F 2R,Golbat,42,11,14,,,Common,Land,sprites/golbat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2272,Old Chateau 1F 2R,Haunter,93,11,14,,,Uncommon,Land,sprites/haunter.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2273,Old Chateau 1F 2R,Misdreavus,200,11,14,,,Uncommon,Land,sprites/misdreavus.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2274,Old Chateau 1F 2R,Patrat,504,11,14,,Required,Common,Land,sprites/patrat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2275,Old Chateau 1F 2R,Rattata,19,11,14,,Required,Common,Land,sprites/rattata.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2276,Old Chateau 1F 2R,Zubat,41,11,14,,,Common,Land,sprites/zubat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2277,Old Chateau 2F,Gastly,92,11,14,,,Common,Land,sprites/gastly.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2278,Old Chateau 2F,Gengar,94,11,14,,,Rare,Land,sprites/gengar.png,M/D,11-14,Old Chateau,,,11,True,8,False,,1
2279,Old Chateau 2F,Golbat,42,11,14,,,Common,Land,sprites/golbat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2280,Old Chateau 2F,Haunter,93,11,14,,,Uncommon,Land,sprites/haunter.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2281,Old Chateau 2F,Misdreavus,200,11,14,,,Uncommon,Land,sprites/misdreavus.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2282,Old Chateau 2F,Patrat,504,11,14,,Required,Common,Land,sprites/patrat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2283,Old Chateau 2F,Rattata,19,11,14,,Required,Common,Land,sprites/rattata.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2284,Old Chateau 2F,Zubat,41,11,14,,,Common,Land,sprites/zubat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2285,Old Chateau 2F 1R,Gastly,92,11,14,,,Common,Land,sprites/gastly.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2286,Old Chateau 2F 1R,Gengar,94,11,14,,,Rare,Land,sprites/gengar.png,M/D,11-14,Old Chateau,,,11,True,8,False,,1
2287,Old Chateau 2F 1R,Golbat,42,11,14,,,Common,Land,sprites/golbat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2288,Old Chateau 2F 1R,Haunter,93,11,14,,,Uncommon,Land,sprites/haunter.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2289,Old Chateau 2F 1R,Misdreavus,200,11,14,,,Uncommon,Land,sprites/misdreavus.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2290,Old Chateau 2F 1R,Patrat,504,11,14,,Required,Common,Land,sprites/patrat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2291,Old Chateau 2F 1R,Rattata,19,11,14,,Required,Common,Land,sprites/rattata.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2292,Old Chateau 2F 1R,Zubat,41,11,14,,,Common,Land,sprites/zubat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2293,Old Chateau 2F 2R,Gastly,92,11,14,,,Common,Land,sprites/gastly.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2294,Old Chateau 2F 2R,Gengar,94,11,14,,,Rare,Land,sprites/gengar.png,M/D,11-14,Old Chateau,,,11,True,8,False,,1
2295,Old Chateau 2F 2R,Golbat,42,11,14,,,Common,Land,sprites/golbat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2296,Old Chateau 2F 2R,Haunter,93,11,14,,,Uncommon,Land,sprites/haunter.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2297,Old Chateau 2F 2R,Misdreavus,200,11,14,,,Uncommon,Land,sprites/misdreavus.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2298,Old Chateau 2F 2R,Patrat,504,11,14,,Required,Common,Land,sprites/patrat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2299,Old Chateau 2F 2R,Rattata,19,11,14,,Required,Common,Land,sprites/rattata.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2300,Old Chateau 2F 2R,Zubat,41,11,14,,,Common,Land,sprites/zubat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2301,Old Chateau 2F 3R,Gastly,92,11,14,,,Common,Land,sprites/gastly.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2302,Old Chateau 2F 3R,Gengar,94,11,14,,,Rare,Land,sprites/gengar.png,M/D,11-14,Old Chateau,,,11,True,8,False,,1
2303,Old Chateau 2F 3R,Golbat,42,11,14,,,Common,Land,sprites/golbat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2304,Old Chateau 2F 3R,Haunter,93,11,14,,,Uncommon,Land,sprites/haunter.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2305,Old Chateau 2F 3R,Misdreavus,200,11,14,,,Uncommon,Land,sprites/misdreavus.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2306,Old Chateau 2F 3R,Patrat,504,11,14,,Required,Common,Land,sprites/patrat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2307,Old Chateau 2F 3R,Rattata,19,11,14,,Required,Common,Land,sprites/rattata.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2308,Old Chateau 2F 3R,Zubat,41,11,14,,,Common,Land,sprites/zubat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2309,Old Chateau 2F 4R,Gastly,92,11,14,,,Common,Land,sprites/gastly.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2310,Old Chateau 2F 4R,Gengar,94,11,14,,,Rare,Land,sprites/gengar.png,M/D,11-14,Old Chateau,,,11,True,8,False,,1
2311,Old Chateau 2F 4R,Golbat,42,11,14,,,Common,Land,sprites/golbat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2312,Old Chateau 2F 4R,Haunter,93,11,14,,,Uncommon,Land,sprites/haunter.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2313,Old Chateau 2F 4R,Misdreavus,200,11,14,,,Uncommon,Land,sprites/misdreavus.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2314,Old Chateau 2F 4R,Patrat,504,11,14,,Required,Common,Land,sprites/patrat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2315,Old Chateau 2F 4R,Rattata,19,11,14,,Required,Common,Land,sprites/rattata.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2316,Old Chateau 2F 4R,Zubat,41,11,14,,,Common,Land,sprites/zubat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2317,Old Chateau 2F 5R,Gastly,92,11,14,,,Common,Land,sprites/gastly.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2318,Old Chateau 2F 5R,Gengar,94,11,14,,,Rare,Land,sprites/gengar.png,M/D,11-14,Old Chateau,,,11,True,8,False,,1
2319,Old Chateau 2F 5R,Golbat,42,11,14,,,Common,Land,sprites/golbat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2320,Old Chateau 2F 5R,Haunter,93,11,14,,,Uncommon,Land,sprites/haunter.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2321,Old Chateau 2F 5R,Misdreavus,200,11,14,,,Uncommon,Land,sprites/misdreavus.png,M/D,11-14,Old Chateau,,,11,True,8,False,,2
2322,Old Chateau 2F 5R,Patrat,504,11,14,,Required,Common,Land,sprites/patrat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2323,Old Chateau 2F 5R,Rattata,19,11,14,,Required,Common,Land,sprites/rattata.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2324,Old Chateau 2F 5R,Zubat,41,11,14,,,Common,Land,sprites/zubat.png,M/D,11-14,Old Chateau,,,11,True,8,False,,5
2325,Old Chateau Dining Room,Abra,63,11,15,,,Uncommon,Land,sprites/abra.png,M/D/Ni,11-15,Old Chateau Dining Room,Old Chateau Dining Room,,16,False,8,False,,3
2326,Old Chateau Dining Room,Drowzee,96,11,15,,,Common,Land,sprites/drowzee.png,M/D/Ni,11-15,Old Chateau Dining Room,Old Chateau Dining Room,,16,False,8,False,,4
2327,Old Chateau Dining Room,Gastly,92,11,15,,,Common,Land,sprites/gastly.png,M/D/Ni,11-15,Old Chateau Dining Room,Old Chateau Dining Room,,16,False,8,False,,4
2328,Old Chateau Dining Room,Haunter,93,11,15,,,Uncommon,Land,sprites/haunter.png,M/D/Ni,11-15,Old Chateau Dining Room,Old Chateau Dining Room,,16,False,8,False,,3
2329,Old Chateau Dining Room,Kadabra,64,16,20,,,Rare,Land,sprites/kadabra.png,M/D/Ni,16-20,Old Chateau Dining Room,Old Chateau Dining Room,,16,True,2,True,16-20,3
2330,Old Chateau Dining Room,Misdreavus,200,11,15,,,Uncommon,Land,sprites/misdreavus.png,M/D/Ni,11-15,Old Chateau Dining Room,Old Chateau Dining Room,,16,False,8,False,,3
2331,Old Chateau Dining Room,Murkrow,198,11,15,,,Rare,Land,sprites/murkrow.png,M/D/Ni,11-15,Old Chateau Dining Room,Old Chateau Dining Room,,16,False,8,False,,3
2332,Old Chateau Dining Room,Raticate,20,11,15,,,Common,Land,sprites/raticate.png,M/D/Ni,11-15,Old Chateau Dining Room,Old Chateau Dining Room,,16,False,8,False,,4
2333,Old Chateau Dining Room,Rattata,19,11,15,,,Common,Land,sprites/rattata.png,M/D/Ni,11-15,Old Chateau Dining Room,Old Chateau Dining Room,,16,False,8,False,,4
